# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Population Cluster	2022_Cluster_LTC_1,2022_Cluster_LTC_10,2022_Cluster_LTC_11,2022_Cluster_LTC_12,2022_Cluster_LTC_13,2022_Cluster_LTC_14,2022_Cluster_LTC_15,2022_Cluster_LTC_2,2022_Cluster_LTC_3,2022_Cluster_LTC_4,2022_Cluster_LTC_5,2022_Cluster_LTC_6,2022_Cluster_LTC_7,2022_Cluster_LTC_8,2022_Cluster_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Tooele_Army	Cluster	un	1	0.08397	-1.00000	-1.00000	0.00758	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
5	Tooele_Army	Cluster	un	813	0.06203	-1.00000	-1.00000	0.00894	-1.00000	-1.00000	0.04304	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
27	Tooele_Army	Cluster	un	2478	0.02559	-1.00000	-1.00000	0.00119	-1.00000	-1.00000	-0.00483	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
37	Tooele_Army	Cluster	un	6498	-0.01710	-1.00000	-1.00000	-0.00688	-1.00000	-1.00000	-0.00896	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
41	Tooele_Army	Cluster	un	8044	0.31315	-1.00000	-1.00000	0.22769	-1.00000	-1.00000	0.24917	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
42	Tooele_Army	Cluster	un	8873	0.23416	-1.00000	-1.00000	0.15405	-1.00000	-1.00000	0.14854	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
43	Tooele_Army	Cluster	un	9693	0.02104	-1.00000	-1.00000	0.00089	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
46	Tooele_Army	Cluster	un	11248	-0.01428	-1.00000	-1.00000	-0.00059	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
48	Tooele_Army	Cluster	un	12896	-0.01428	-1.00000	-1.00000	-0.00059	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
55	Tooele_Army	Cluster	un	15343	0.01524	-1.00000	-1.00000	0.00129	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
66	Tooele_Army	Cluster	un	19469	-0.01259	-1.00000	-1.00000	-0.00054	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
79	Tooele_Army	Cluster	un	23289	0.01524	-1.00000	-1.00000	0.00129	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
86	Tooele_Army	Cluster	un	25574	-0.04646	-1.00000	-1.00000	-0.00469	-1.00000	-1.00000	-0.01476	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
88	Tooele_Army	Cluster	un	27181	0.02104	-1.00000	-1.00000	0.00089	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
89	Tooele_Army	Cluster	un	27961	0.63746	-1.00000	-1.00000	0.46785	-1.00000	-1.00000	0.46479	-1.00000	-1.00000	0.00077	-1.00000	-1.00000
102	Tooele_Army	Cluster	un	31823	0.02104	-1.00000	-1.00000	0.00089	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
104	Tooele_Army	Cluster	un	32672	0.78884	-1.00000	-1.00000	0.78884	-1.00000	-1.00000	0.79256	-1.00000	-1.00000	0.00103	-1.00000	-1.00000
