# Population Bishop	2022_Bishop_LTC1,2022_Bishop_LTC10,2022_Bishop_LTC11,2022_Bishop_LTC12,2022_Bishop_LTC13,2022_Bishop_LTC14,2022_Bishop_LTC15,2022_Bishop_LTC2,2022_Bishop_LTC3,2022_Bishop_LTC4,2022_Bishop_LTC5,2022_Bishop_LTC6,2022_Bishop_LTC7,2022_Bishop_LTC8,2022_Bishop_LTC9
# Population Mona	2001_Mona_LTC1,2001_Mona_LTC10,2001_Mona_LTC11,2001_Mona_LTC12,2001_Mona_LTC13,2001_Mona_LTC14,2001_Mona_LTC15,2001_Mona_LTC2,2001_Mona_LTC3,2001_Mona_LTC5,2001_Mona_LTC6,2001_Mona_LTC7,2001_Mona_LTC8,2001_Mona_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Bishop	Mona	un	1	0.04820	-1.00000	-1.00000	0.00374	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
16	Bishop	Mona	un	1664	0.27098	-1.00000	-1.00000	0.09781	-1.00000	-1.00000	0.18781	-1.00000	-1.00000	0.00053	-1.00000	-1.00000
37	Bishop	Mona	un	6498	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	-0.00529	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
75	Bishop	Mona	un	21025	0.04000	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
88	Bishop	Mona	un	27181	0.00951	-1.00000	-1.00000	0.00037	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
98	Bishop	Mona	un	30244	-0.00315	-1.00000	-1.00000	-0.00013	-1.00000	-1.00000	-0.00207	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
165	Bishop	Mona	un	50688	0.11329	-1.00000	-1.00000	0.02085	-1.00000	-1.00000	0.05900	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
171	Bishop	Mona	un	52972	0.06024	-1.00000	-1.00000	0.00707	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
235	Bishop	Mona	un	70691	0.06920	-1.00000	-1.00000	0.00850	-1.00000	-1.00000	0.01894	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
261	Bishop	Mona	un	84087	0.05748	-1.00000	-1.00000	0.00467	-1.00000	-1.00000	0.01434	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
283	Bishop	Mona	un	93975	0.08745	-1.00000	-1.00000	0.01453	-1.00000	-1.00000	0.00820	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
292	Bishop	Mona	un	98126	0.02760	-1.00000	-1.00000	0.00210	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
300	Bishop	Mona	un	101365	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00063	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
318	Bishop	Mona	un	106152	0.13043	-1.00000	-1.00000	0.02542	-1.00000	-1.00000	0.05670	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
327	Bishop	Mona	un	109040	0.03320	-1.00000	-1.00000	0.00263	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
376	Bishop	Mona	un	125963	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
380	Bishop	Mona	un	126835	0.39130	-1.00000	-1.00000	0.21845	-1.00000	-1.00000	0.25606	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
423	Bishop	Mona	un	143759	0.04820	-1.00000	-1.00000	0.00374	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
459	Bishop	Mona	un	158935	0.19150	-1.00000	-1.00000	0.05590	-1.00000	-1.00000	0.06437	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
480	Bishop	Mona	un	165210	0.09302	-1.00000	-1.00000	0.01497	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
483	Bishop	Mona	un	166060	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
501	Bishop	Mona	un	173167	0.02760	-1.00000	-1.00000	0.00210	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
504	Bishop	Mona	un	173967	0.84696	-1.00000	-1.00000	0.83630	-1.00000	-1.00000	0.83844	-1.00000	-1.00000	0.00105	-1.00000	-1.00000
519	Bishop	Mona	un	179680	0.06024	-1.00000	-1.00000	0.00707	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
542	Bishop	Mona	un	188062	0.18841	-1.00000	-1.00000	0.15854	-1.00000	-1.00000	0.13782	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
556	Bishop	Mona	un	195325	0.24449	-1.00000	-1.00000	0.06949	-1.00000	-1.00000	0.08907	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
574	Bishop	Mona	un	200912	0.08538	-1.00000	-1.00000	0.01066	-1.00000	-1.00000	0.01033	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
586	Bishop	Mona	un	206007	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00030	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
615	Bishop	Mona	un	214923	0.96136	-1.00000	-1.00000	0.95654	-1.00000	-1.00000	0.95682	-1.00000	-1.00000	0.00114	-1.00000	-1.00000
653	Bishop	Mona	un	230588	0.05553	-1.00000	-1.00000	0.00674	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
747	Bishop	Mona	un	267521	0.08745	-1.00000	-1.00000	0.01453	-1.00000	-1.00000	0.00820	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
756	Bishop	Mona	un	270727	0.08112	-1.00000	-1.00000	0.02400	-1.00000	-1.00000	0.00716	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
770	Bishop	Mona	un	275593	0.14147	-1.00000	-1.00000	0.03071	-1.00000	-1.00000	0.04578	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
795	Bishop	Mona	un	287343	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
802	Bishop	Mona	un	290531	0.04820	-1.00000	-1.00000	0.00374	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
847	Bishop	Mona	un	305281	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	-0.00054	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
882	Bishop	Mona	un	318874	0.17391	-1.00000	-1.00000	0.04376	-1.00000	-1.00000	0.07897	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
913	Bishop	Mona	un	326508	0.21731	-1.00000	-1.00000	0.07871	-1.00000	-1.00000	0.06484	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
927	Bishop	Mona	un	332921	-0.03817	-1.00000	-1.00000	-0.02253	-1.00000	-1.00000	-0.01682	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
930	Bishop	Mona	un	333810	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
936	Bishop	Mona	un	337747	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
1000	Bishop	Mona	un	360666	0.03320	-1.00000	-1.00000	0.00263	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
1064	Bishop	Mona	un	383921	0.06407	-1.00000	-1.00000	0.00815	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
1125	Bishop	Mona	un	400713	0.00951	-1.00000	-1.00000	0.00037	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
1132	Bishop	Mona	un	402481	-0.00489	-1.00000	-1.00000	-0.00018	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
1155	Bishop	Mona	un	410008	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	-0.00619	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
