# Population Copilot	2022_Copilot_LTC1,2022_Copilot_LTC10,2022_Copilot_LTC11,2022_Copilot_LTC12,2022_Copilot_LTC13,2022_Copilot_LTC14,2022_Copilot_LTC2,2022_Copilot_LTC3,2022_Copilot_LTC4,2022_Copilot_LTC5,2022_Copilot_LTC6,2022_Copilot_LTC7,2022_Copilot_LTC8,2022_Copilot_LTC9
# Population Rosebud_Top_P	2022_Rosebud_Top_P_LTC1,2022_Rosebud_Top_P_LTC10,2022_Rosebud_Top_P_LTC11,2022_Rosebud_Top_P_LTC12,2022_Rosebud_Top_P_LTC13,2022_Rosebud_Top_P_LTC14,2022_Rosebud_Top_P_LTC2,2022_Rosebud_Top_P_LTC3,2022_Rosebud_Top_P_LTC4,2022_Rosebud_Top_P_LTC5,2022_Rosebud_Top_P_LTC6,2022_Rosebud_Top_P_LTC7,2022_Rosebud_Top_P_LTC8,2022_Rosebud_Top_P_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Copilot	Rosebud_Top_P	un	1664	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
37	Copilot	Rosebud_Top_P	un	6498	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
48	Copilot	Rosebud_Top_P	un	12896	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
51	Copilot	Rosebud_Top_P	un	13748	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
58	Copilot	Rosebud_Top_P	un	16975	0.06920	-1.00000	-1.00000	0.00850	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
66	Copilot	Rosebud_Top_P	un	19469	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
77	Copilot	Rosebud_Top_P	un	22523	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
79	Copilot	Rosebud_Top_P	un	23289	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
91	Copilot	Rosebud_Top_P	un	28739	-0.03704	-1.00000	-1.00000	-0.00884	-1.00000	-1.00000	-0.00884	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
99	Copilot	Rosebud_Top_P	un	31053	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
102	Copilot	Rosebud_Top_P	un	31823	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
104	Copilot	Rosebud_Top_P	un	32672	0.17828	-1.00000	-1.00000	0.07130	-1.00000	-1.00000	0.07130	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
160	Copilot	Rosebud_Top_P	un	49095	-0.03704	-1.00000	-1.00000	-0.00275	-1.00000	-1.00000	-0.00275	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
162	Copilot	Rosebud_Top_P	un	49842	-0.03282	-1.00000	-1.00000	-0.02707	-1.00000	-1.00000	-0.02519	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
173	Copilot	Rosebud_Top_P	un	54113	-0.02844	-1.00000	-1.00000	-0.00634	-1.00000	-1.00000	-0.00503	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
179	Copilot	Rosebud_Top_P	un	55727	-0.03812	-1.00000	-1.00000	-0.03963	-1.00000	-1.00000	-0.04247	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
203	Copilot	Rosebud_Top_P	un	62205	-0.03729	-1.00000	-1.00000	-0.01716	-1.00000	-1.00000	0.01000	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
227	Copilot	Rosebud_Top_P	un	68529	0.05719	-1.00000	-1.00000	0.05392	-1.00000	-1.00000	0.06400	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
239	Copilot	Rosebud_Top_P	un	72275	0.10528	-1.00000	-1.00000	0.01778	-1.00000	-1.00000	0.01034	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
251	Copilot	Rosebud_Top_P	un	80031	-0.02894	-1.00000	-1.00000	-0.00568	-1.00000	-1.00000	-0.00568	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
269	Copilot	Rosebud_Top_P	un	88133	-0.04348	-1.00000	-1.00000	-0.00379	-1.00000	-1.00000	-0.00030	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
276	Copilot	Rosebud_Top_P	un	91588	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
291	Copilot	Rosebud_Top_P	un	97330	-0.03704	-1.00000	-1.00000	-0.02273	-1.00000	-1.00000	-0.02273	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
299	Copilot	Rosebud_Top_P	un	100548	-0.04000	-1.00000	-1.00000	-0.00321	-1.00000	-1.00000	-0.00321	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
308	Copilot	Rosebud_Top_P	un	102942	0.08112	-1.00000	-1.00000	0.02400	-1.00000	-1.00000	0.01641	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
380	Copilot	Rosebud_Top_P	un	126250	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
386	Copilot	Rosebud_Top_P	un	128600	-0.00315	-1.00000	-1.00000	-0.00013	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
394	Copilot	Rosebud_Top_P	un	131885	0.11111	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
413	Copilot	Rosebud_Top_P	un	139928	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
422	Copilot	Rosebud_Top_P	un	142304	0.03320	-1.00000	-1.00000	0.00263	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
427	Copilot	Rosebud_Top_P	un	146346	-0.03802	-1.00000	-1.00000	-0.01301	-1.00000	-1.00000	-0.01304	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
468	Copilot	Rosebud_Top_P	un	160523	-0.04348	-1.00000	-1.00000	-0.00790	-1.00000	-1.00000	-0.01519	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
477	Copilot	Rosebud_Top_P	un	163860	0.04000	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	-0.00260	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
493	Copilot	Rosebud_Top_P	un	170418	-0.01916	-1.00000	-1.00000	-0.00812	-1.00000	-1.00000	-0.00812	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
499	Copilot	Rosebud_Top_P	un	172649	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
501	Copilot	Rosebud_Top_P	un	173449	-0.03841	-1.00000	-1.00000	-0.00296	-1.00000	-1.00000	-0.00297	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
504	Copilot	Rosebud_Top_P	un	174249	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
510	Copilot	Rosebud_Top_P	un	177555	-0.02433	-1.00000	-1.00000	-0.01504	-1.00000	-1.00000	-0.00181	-1.00000	-1.00000	0.00059	-1.00000	-1.00000
514	Copilot	Rosebud_Top_P	un	178348	0.08287	-1.00000	-1.00000	0.02165	-1.00000	-1.00000	0.03571	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
562	Copilot	Rosebud_Top_P	un	197262	-0.03591	-1.00000	-1.00000	-0.02209	-1.00000	-1.00000	-0.02078	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
565	Copilot	Rosebud_Top_P	un	198039	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
577	Copilot	Rosebud_Top_P	un	202804	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
596	Copilot	Rosebud_Top_P	un	207063	-0.00300	-1.00000	-1.00000	-0.00203	-1.00000	-1.00000	-0.01454	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
615	Copilot	Rosebud_Top_P	un	215205	-0.03651	-1.00000	-1.00000	-0.02964	-1.00000	-1.00000	-0.03763	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
616	Copilot	Rosebud_Top_P	un	216052	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
617	Copilot	Rosebud_Top_P	un	216811	-0.03704	-1.00000	-1.00000	-0.00570	-1.00000	-1.00000	-0.00570	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
622	Copilot	Rosebud_Top_P	un	218365	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
635	Copilot	Rosebud_Top_P	un	223183	0.00840	-1.00000	-1.00000	0.00273	-1.00000	-1.00000	-0.00840	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
638	Copilot	Rosebud_Top_P	un	224852	-0.02407	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
690	Copilot	Rosebud_Top_P	un	245261	-0.02664	-1.00000	-1.00000	-0.00546	-1.00000	-1.00000	0.00098	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
696	Copilot	Rosebud_Top_P	un	248594	0.00840	-1.00000	-1.00000	0.00273	-1.00000	-1.00000	-0.00470	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
699	Copilot	Rosebud_Top_P	un	251012	-0.00910	-1.00000	-1.00000	-0.00315	-1.00000	-1.00000	0.00627	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
708	Copilot	Rosebud_Top_P	un	254115	0.05755	-1.00000	-1.00000	0.01280	-1.00000	-1.00000	0.01200	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
724	Copilot	Rosebud_Top_P	un	258338	-0.02782	-1.00000	-1.00000	-0.00329	-1.00000	-1.00000	-0.00273	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
731	Copilot	Rosebud_Top_P	un	261404	-0.02407	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
735	Copilot	Rosebud_Top_P	un	263782	-0.02813	-1.00000	-1.00000	-0.00378	-1.00000	-1.00000	-0.01667	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
743	Copilot	Rosebud_Top_P	un	265436	0.04838	-1.00000	-1.00000	0.00422	-1.00000	-1.00000	0.00037	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
745	Copilot	Rosebud_Top_P	un	266211	-0.02432	-1.00000	-1.00000	-0.00910	-1.00000	-1.00000	-0.01688	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
753	Copilot	Rosebud_Top_P	un	269414	-0.01565	-1.00000	-1.00000	-0.00517	-1.00000	-1.00000	-0.00517	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
756	Copilot	Rosebud_Top_P	un	271009	-0.02997	-1.00000	-1.00000	-0.01772	-1.00000	-1.00000	-0.01041	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
759	Copilot	Rosebud_Top_P	un	271896	0.07436	-1.00000	-1.00000	0.00994	-1.00000	-1.00000	-0.00186	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
768	Copilot	Rosebud_Top_P	un	275027	0.07407	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
772	Copilot	Rosebud_Top_P	un	276708	-0.04000	-1.00000	-1.00000	-0.00321	-1.00000	-1.00000	-0.00024	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
773	Copilot	Rosebud_Top_P	un	277821	0.04420	-1.00000	-1.00000	0.00354	-1.00000	-1.00000	0.01220	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
777	Copilot	Rosebud_Top_P	un	279518	-0.03704	-1.00000	-1.00000	-0.00275	-1.00000	-1.00000	-0.00275	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
784	Copilot	Rosebud_Top_P	un	281958	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
785	Copilot	Rosebud_Top_P	un	282738	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
788	Copilot	Rosebud_Top_P	un	283531	-0.01491	-1.00000	-1.00000	-0.01043	-1.00000	-1.00000	-0.01070	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
792	Copilot	Rosebud_Top_P	un	285186	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
801	Copilot	Rosebud_Top_P	un	289935	0.02912	-1.00000	-1.00000	0.00239	-1.00000	-1.00000	0.01034	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
804	Copilot	Rosebud_Top_P	un	291612	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
812	Copilot	Rosebud_Top_P	un	293156	-0.02321	-1.00000	-1.00000	-0.00498	-1.00000	-1.00000	0.00290	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
833	Copilot	Rosebud_Top_P	un	298777	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
850	Copilot	Rosebud_Top_P	un	307150	-0.00844	-1.00000	-1.00000	-0.00739	-1.00000	-1.00000	-0.02436	-1.00000	-1.00000	0.00072	-1.00000	-1.00000
854	Copilot	Rosebud_Top_P	un	308791	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
